ufn,sample_type,sample_id,container_id,container_cell,sample_location,comments_sample,sample_status,storage_medium,qc_flag,flag_reason,qc_log,ufn_sort
U221,scale,BSC12-5,BSC12,5,BSC12-5,NA,collected,Dry,N,NA,NA,221
U222,scale,BSC12-6,BSC12,6,BSC12-6,NA,collected,Dry,N,NA,NA,222
U223,scale,BSC12-7,BSC12,7,BSC12-7,NA,collected,Dry,N,NA,NA,223
U224,scale,BSC13-11,BSC13,11,BSC13-11,NA,collected,Dry,N,NA,NA,224
U225,scale,BSC12-8,BSC12,8,BSC12-8,NA,collected,Dry,N,NA,NA,225
U226,scale,BSC12-9,BSC12,9,BSC12-9,NA,collected,Dry,N,NA,NA,226
U227,scale,BSC12-10,BSC12,10,BSC12-10,NA,collected,Dry,N,NA,NA,227
U228,scale,BSC12-11,BSC12,11,BSC12-11,NA,collected,Dry,N,NA,NA,228
U229,scale,BSC12-12,BSC12,12,BSC12-12,NA,collected,Dry,N,NA,NA,229
U230,scale,BSC12-13,BSC12,13,BSC12-13,NA,collected,Dry,N,NA,NA,230
U231,scale,BSC5-16,BSC5,16,BSC5-16,NA,collected,Dry,N,NA,NA,231
U232,scale,BSC5-20,BSC5,20,BSC5-20,NA,collected,Dry,N,NA,NA,232
U233,scale,BSC5-22,BSC5,22,BSC5-22,NA,collected,Dry,N,NA,NA,233
U234,scale,BSC5-26,BSC5,26,BSC5-26,NA,collected,Dry,N,NA,NA,234
U235,scale,BSC5-27,BSC5,27,BSC5-27,NA,collected,Dry,N,NA,NA,235
U236,scale,BSC13-1,BSC13,1,BSC13-1,NA,collected,Dry,N,NA,NA,236
U237,scale,BSC13-2,BSC13,2,BSC13-2,NA,collected,Dry,N,NA,NA,237
U238,scale,BSC13-3,BSC13,3,BSC13-3,NA,collected,Dry,N,NA,NA,238
U239,scale,BSC13-4,BSC13,4,BSC13-4,NA,collected,Dry,N,NA,NA,239
U240,scale,BSC13-5,BSC13,5,BSC13-5,NA,collected,Dry,N,NA,NA,240
U241,scale,BSC5-25,BSC5,25,BSC5-25,NA,collected,Dry,N,NA,NA,241
U242,scale,BSC11-2,BSC11,2,BSC11-2,NA,collected,Dry,N,NA,NA,242
U243,scale,BSC11-3,BSC11,3,BSC11-3,NA,collected,Dry,N,NA,NA,243
U244,scale,BSC11-4,BSC11,4,BSC11-4,NA,collected,Dry,N,NA,NA,244
U245,scale,BSC11-5,BSC11,5,BSC11-5,NA,collected,Dry,N,NA,NA,245
