ufn,sample_type,sample_id,container_id,container_cell,sample_location,comments_sample,sample_status,sample_qc_flag,sample_flag_reason,sample_qc_log
U4954,isotope,SIS5454,BISHE4,16,BISHE4-16,NA,collected,N,NA,Renamed duplicate container BISHE3 to BISHE4.
U4955,isotope,SIS5455,BISHE4,18,BISHE4-18,NA,collected,N,NA,Renamed duplicate container BISHE3 to BISHE4. Changed from cell 8 (incorrect location) JG 2018-01-15
U4956,isotope,SIS5456,BISHE4,20,BISHE4-20,NA,collected,N,NA,Renamed duplicate container BISHE3 to BISHE4. Changed from cell 10 (incorrect location) JG 2018-01-15
U4957,isotope,SIS5457,BISHE4,100,BISHE4-100,NA,collected,N,NA,Renamed duplicate container BISHE3 to BISHE4.
U4960,isotope,SIS5499,BISCU12,20,BISCU12-20,NA,collected,N,NA,NA
U4965,isotope,SIS5504,BISCU12,22,BISCU12-22,NA,collected,N,NA,NA
U4970,isotope,SIS5509,BISCU12,26,BISCU12-26,NA,collected,N,NA,NA
U4971,isotope,SIS5510,BISCU12,28,BISCU12-28,NA,collected,N,NA,NA
U4972,isotope,SIS5511,BISCU12,30,BISCU12-30,NA,collected,N,NA,NA
U4973,isotope,SIS5512,BISCU12,31,BISCU12-31,NA,collected,N,NA,NA
U4974,isotope,SIS5513,BISCU12,33,BISCU12-33,NA,collected,N,NA,NA
U4975,isotope,SIS5514,BISCU12,35,BISCU12-35,NA,collected,N,NA,NA
U4976,isotope,SIS5515,BISCU12,37,BISCU12-37,NA,collected,N,NA,NA
